"diff","lwr","upr","p adj","comparison"
-0.967794117627198,-2.02037912280729,0.0847908875528895,0.123526239109398,"Arson-Animal Cruelty"
-0.146406072814672,-0.897585395690644,0.604773250061299,0.99999999876835,"Assault Offenses-Animal Cruelty"
0.363653846150127,-6.86138696086688,7.58869465316713,1,"Bribery-Animal Cruelty"
-2.85725503580043,-3.61950190424831,-2.09500816735255,0,"Burglary/Breaking & Entering-Animal Cruelty"
-1.45859427607058,-2.25533736647009,-0.661851185671068,7.61014784522729e-09,"Counterfeiting/Forgery-Animal Cruelty"
-1.34713096935178,-2.09870734446908,-0.595554594234483,1.9426696806768e-08,"Destruction/Damage/Vandalism of Property-Animal Cruelty"
0.199844851320126,-0.555796250513189,0.955485953153441,0.999999403934153,"Drug/Narcotic Offenses-Animal Cruelty"
-1.59543103446184,-2.66229387073124,-0.52856819819244,1.44056655212443e-05,"Embezzlement-Animal Cruelty"
-1.27023584903566,-2.31294277341734,-0.227528924653976,0.00226058123170925,"Extortion/Blackmail-Animal Cruelty"
-1.75060712697213,-2.50718856002711,-0.994025693917144,2.52575738102223e-13,"Fraud Offenses-Animal Cruelty"
1.06295454546976,-6.78501499952771,8.91092409046723,0.999999999999863,"Gambling Offenses-Animal Cruelty"
0.51032296651247,-0.536010439141975,1.55665637216692,0.986405997754714,"Homicide Offenses-Animal Cruelty"
-4.86711538461585,-6.71871988215267,-3.01551088707902,1.91291427142914e-13,"Human Trafficking-Animal Cruelty"
-0.119537037013227,-1.3661462427453,1.12707216871885,1,"Kidnapping/Abduction-Animal Cruelty"
-1.48490595134014,-2.23502784878471,-0.734784053895562,1.66072378071647e-10,"Larceny/Theft Offenses-Animal Cruelty"
-1.30484035300783,-2.05889814179974,-0.550782564215931,8.50262097396026e-08,"Motor Vehicle Theft-Animal Cruelty"
-1.51101218246099,-2.46362900768633,-0.558395357235638,2.16869888014504e-06,"Pornography/Obscene Material-Animal Cruelty"
-3.87365646257091,-5.17795399978698,-2.56935892535483,2.17714735128993e-13,"Prostitution Offenses-Animal Cruelty"
-0.285561694270129,-1.05892360269227,0.487800214152015,0.999757998824422,"Robbery-Animal Cruelty"
-2.47420020118937,-3.27661956433585,-1.67178083804289,5.32907051820075e-14,"Sex Offenses-Animal Cruelty"
-2.72865384613913,-4.72921291137754,-0.728094780900729,0.000182696599108079,"Sex Offenses, Non-forcible-Animal Cruelty"
-0.483923825323016,-1.33172387978567,0.363876229139642,0.92335068705695,"Stolen Property Offenses-Animal Cruelty"
-0.213356280628167,-0.989023297842805,0.562310736586471,0.999998731033746,"Weapon Law Violations-Animal Cruelty"
0.821388044812526,0.0775461800731995,1.56522990955185,0.0127009355199889,"Assault Offenses-Arson"
1.33144796377733,-5.89283366194045,8.5557295894951,0.999999999621193,"Bribery-Arson"
-1.88946091817323,-2.64447789353277,-1.13444394281368,3.05311331771918e-13,"Burglary/Breaking & Entering-Arson"
-0.490800158443383,-1.28062918850106,0.299028871614289,0.838963617768117,"Counterfeiting/Forgery-Arson"
-0.379336851724583,-1.12357968323654,0.364905979787373,0.976930186295984,"Destruction/Damage/Vandalism of Property-Arson"
1.16763896894732,0.419291576754138,1.91598636114051,3.76479659724982e-06,"Drug/Narcotic Offenses-Arson"
-0.627636916834643,-1.68934622546637,0.434072391797088,0.894108307623352,"Embezzlement-Arson"
-0.302441731408459,-1.33987513880191,0.734991675984989,0.999996195315177,"Extortion/Blackmail-Arson"
-0.782813009344929,-1.53210988606737,-0.0335161326224863,0.0285073432483904,"Fraud Offenses-Arson"
2.03074866309696,-5.81652196584341,9.87801929203733,0.999999609466397,"Gambling Offenses-Arson"
1.47811708413967,0.437038825596679,2.51919534268266,6.40157385097817e-05,"Homicide Offenses-Arson"
-3.89932126698865,-5.74796118863945,-2.05068134533785,4.81359396786729e-12,"Human Trafficking-Arson"
0.848257080613971,-0.39394453604833,2.09045869727627,0.688558875387875,"Kidnapping/Abduction-Arson"
-0.517111833712937,-1.25988582736667,0.2256621599408,0.651040815440497,"Larceny/Theft Offenses-Arson"
-0.337046235380637,-1.08379485001625,0.409702379254979,0.995040199620562,"Motor Vehicle Theft-Arson"
-0.543218064833788,-1.49005974131666,0.403623611649084,0.919545206650354,"Pornography/Obscene Material-Arson"
-2.90586234494371,-4.20594788451808,-1.60577680536934,4.08895139969445e-13,"Prostitution Offenses-Arson"
0.682232423357069,-0.084004476055127,1.44846932276927,0.165082687547271,"Robbery-Arson"
-1.50640608356217,-2.30196071963368,-0.71085144749066,1.56833435127623e-09,"Sex Offenses-Arson"
-1.76085972851194,-3.75867526507432,0.236955808050446,0.179796012503161,"Sex Offenses, Non-forcible-Arson"
0.483870292304182,-0.357435405388019,1.32517598999638,0.917638061773444,"Stolen Property Offenses-Arson"
0.754437836999031,-0.0141255411404227,1.52300121513849,0.0622335609674897,"Weapon Law Violations-Arson"
0.510059918964799,-6.67649559739141,7.69661543532101,1,"Bribery-Assault Offenses"
-2.71084896298575,-2.87328607410114,-2.54841185187037,0,"Burglary/Breaking & Entering-Assault Offenses"
-1.31218820325591,-1.59532258602897,-1.02905382048285,0,"Counterfeiting/Forgery-Assault Offenses"
-1.20072489653711,-1.30188108390778,-1.09956870916643,0,"Destruction/Damage/Vandalism of Property-Assault Offenses"
0.346250924134798,0.218348612237086,0.47415323603251,2.34590125103296e-13,"Drug/Narcotic Offenses-Assault Offenses"
-1.44902496164717,-2.21293715425945,-0.685112769034886,1.44076084396261e-09,"Embezzlement-Assault Offenses"
-1.12382977622099,-1.85362649912567,-0.3940330533163,5.77416311087209e-06,"Extortion/Blackmail-Assault Offenses"
-1.60420105415746,-1.73754643822622,-1.47085567008869,0,"Fraud Offenses-Assault Offenses"
1.20936061828443,-6.60319283790495,9.02191407447381,0.999999999991046,"Gambling Offenses-Assault Offenses"
0.656729039327143,-0.0782397507567234,1.39169782941101,0.160088851090369,"Homicide Offenses-Assault Offenses"
-4.72070931180117,-6.41593930855899,-3.02547931504336,2.42583730880597e-13,"Human Trafficking-Assault Offenses"
0.026869035801445,-0.972830938403252,1.02656901000614,1,"Kidnapping/Abduction-Assault Offenses"
-1.33849987852546,-1.42821268493993,-1.248787072111,0,"Larceny/Theft Offenses-Assault Offenses"
-1.15843428019316,-1.27662343133086,-1.04024512905547,0,"Motor Vehicle Theft-Assault Offenses"
-1.36460610964631,-1.95861313175239,-0.770599087540234,2.68562949656825e-13,"Pornography/Obscene Material-Assault Offenses"
-3.72725038975624,-4.7980246853932,-2.65647609411927,0,"Prostitution Offenses-Assault Offenses"
-0.139155621455457,-0.347612254852558,0.0693010119416452,0.729983661952431,"Robbery-Assault Offenses"
-2.3277941283747,-2.626528727913,-2.02905952883639,0,"Sex Offenses-Assault Offenses"
-2.58224777332446,-4.43901973027461,-0.725475816374316,0.000111135217674696,"Sex Offenses, Non-forcible-Assault Offenses"
-0.337517752508344,-0.742647927829559,0.0676124228128713,0.274883827951998,"Stolen Property Offenses-Assault Offenses"
-0.0669502078134947,-0.283802342235932,0.149901926608942,0.999989057729788,"Weapon Law Violations-Assault Offenses"
-3.22090888195055,-10.4086296683342,3.96681190443313,0.995505481961288,"Burglary/Breaking & Entering-Bribery"
-1.82224812222071,-9.01370898679147,5.36921274235005,0.999999741515803,"Counterfeiting/Forgery-Bribery"
-1.71078481550191,-8.89738184484674,5.47581221384292,0.99999992516254,"Destruction/Damage/Vandalism of Property-Bribery"
-0.163808994830001,-7.35083225132036,7.02321426166036,1,"Drug/Narcotic Offenses-Bribery"
-1.95908488061197,-9.18546060610302,5.26729084487908,0.999999038794826,"Embezzlement-Bribery"
-1.63388969518578,-8.85673868604161,5.58895929567004,0.999999973262443,"Extortion/Blackmail-Bribery"
-2.11426097312225,-9.3013831565415,5.07286121029699,0.999995498516328,"Fraud Offenses-Bribery"
0.699300699319632,-9.9154501594505,11.3140515580898,1,"Gambling Offenses-Bribery"
0.146669120362343,-7.0767042889487,7.37004252967339,1,"Homicide Offenses-Bribery"
-5.23076923076597,-12.613908741154,2.15237027962201,0.615578302387444,"Human Trafficking-Bribery"
-0.483190883163354,-7.73828180791195,6.77190004158524,1,"Kidnapping/Abduction-Bribery"
-1.84855979749026,-9.03500486272101,5.33788526774048,0.99999965287444,"Larceny/Theft Offenses-Bribery"
-1.66849419915796,-8.85535115915036,5.51836276083444,0.999999954786718,"Motor Vehicle Theft-Bribery"
-1.87466602861111,-9.08506051367612,5.3357284564539,0.999999572228533,"Pornography/Obscene Material-Bribery"
-4.23731030872104,-11.5025358303509,3.02791521290879,0.906240604600349,"Prostitution Offenses-Bribery"
-0.649215540420256,-7.83812355596419,6.53969247512368,1,"Robbery-Bribery"
-2.8378540473395,-10.0299459995399,4.35423790486091,0.999303204265407,"Sex Offenses-Bribery"
-3.09230769228926,-10.5142041068225,4.32958872224396,0.998409843679494,"Sex Offenses, Non-forcible-Bribery"
-0.847577671473143,-8.04487402127703,6.34971867833074,1,"Stolen Property Offenses-Bribery"
-0.577010126778294,-7.76616648452627,6.61214623096968,1,"Weapon Law Violations-Bribery"
1.39866075972984,1.08734903163327,1.70997248782642,0,"Counterfeiting/Forgery-Burglary/Breaking & Entering"
1.51012406644865,1.34586059642086,1.67438753647643,0,"Destruction/Damage/Vandalism of Property-Burglary/Breaking & Entering"
3.05709988712055,2.87514133488688,3.23905843935423,0,"Drug/Narcotic Offenses-Burglary/Breaking & Entering"
1.26182400133859,0.487026123589878,2.03662187908729,8.61240826433018e-07,"Embezzlement-Burglary/Breaking & Entering"
1.58701918676477,0.845835558974318,2.32820281455522,2.01105798680601e-12,"Extortion/Blackmail-Burglary/Breaking & Entering"
1.1066479088283,0.920822978330151,1.29247283932645,0,"Fraud Offenses-Burglary/Breaking & Entering"
3.92020958127019,-3.89341578850272,11.7338349510431,0.980838269534392,"Gambling Offenses-Burglary/Breaking & Entering"
3.3675780023129,2.62130122005343,4.11385478457236,0,"Homicide Offenses-Burglary/Breaking & Entering"
-2.00986034881542,-3.71002347488589,-0.309697222744954,0.00399794467404258,"Human Trafficking-Burglary/Breaking & Entering"
2.7377179987872,1.72967536488372,3.74576063269068,2.24376073276744e-13,"Kidnapping/Abduction-Burglary/Breaking & Entering"
1.37234908446029,1.21487432147601,1.52982384744457,0,"Larceny/Theft Offenses-Burglary/Breaking & Entering"
1.55241468279259,1.37714749022979,1.72768187535539,0,"Motor Vehicle Theft-Burglary/Breaking & Entering"
1.34624285333944,0.738300211593092,1.95418549508579,5.28244115116649e-13,"Pornography/Obscene Material-Burglary/Breaking & Entering"
-1.01640142677048,-2.09496876613276,0.0621659125917977,0.0969203956324567,"Prostitution Offenses-Burglary/Breaking & Entering"
2.5716933415303,2.32632814157429,2.8170585414863,0,"Robbery-Burglary/Breaking & Entering"
0.383054834611057,0.0574902875493297,0.708619381672785,0.00435768059294861,"Sex Offenses-Burglary/Breaking & Entering"
0.128601189661293,-1.73267579495402,1.9898781742766,1,"Sex Offenses, Non-forcible-Burglary/Breaking & Entering"
2.37333121047741,1.94803087859652,2.7986315423583,0,"Stolen Property Offenses-Burglary/Breaking & Entering"
2.64389875517226,2.3913621013064,2.89643540903811,0,"Weapon Law Violations-Burglary/Breaking & Entering"
0.1114633067188,-0.172722814030147,0.395649427467748,0.99936531748248,"Destruction/Damage/Vandalism of Property-Counterfeiting/Forgery"
1.65843912739071,1.3636711196766,1.95320713510481,0,"Drug/Narcotic Offenses-Counterfeiting/Forgery"
-0.13683675839126,-0.945595693429797,0.671922176647277,0.999999999938928,"Embezzlement-Counterfeiting/Forgery"
0.188358427034924,-0.5882575873154,0.964974441385247,0.999999891334459,"Extortion/Blackmail-Counterfeiting/Forgery"
-0.292012850901546,-0.589183119325912,0.00515741752281934,0.0614908404023612,"Fraud Offenses-Counterfeiting/Forgery"
2.52154882154034,-5.29551716787024,10.3386148109509,0.999975940965325,"Gambling Offenses-Counterfeiting/Forgery"
1.96891724258305,1.18743896433067,2.75039552083543,2.84994250421278e-13,"Homicide Offenses-Counterfeiting/Forgery"
-3.40852110854527,-5.1244272595018,-1.69261495758873,1.38237865598967e-10,"Human Trafficking-Counterfeiting/Forgery"
1.33905723905735,0.30468341136843,2.37343106674628,0.000630470345665324,"Kidnapping/Abduction-Counterfeiting/Forgery"
-0.0263116752695538,-0.306628575612225,0.254005225073118,1,"Larceny/Theft Offenses-Counterfeiting/Forgery"
0.153753923062746,-0.136931220055393,0.444439066180886,0.96493670940897,"Motor Vehicle Theft-Counterfeiting/Forgery"
-0.0524179063904047,-0.703089497359533,0.598253684578724,1,"Pornography/Obscene Material-Counterfeiting/Forgery"
-2.41506218650033,-3.5182787423858,-1.31184563061486,7.943645741193e-13,"Prostitution Offenses-Counterfeiting/Forgery"
1.17303258180045,0.835418386319549,1.51064677728136,0,"Robbery-Counterfeiting/Forgery"
-1.01560592511879,-1.4153202455331,-0.615891604704475,2.61235477694299e-13,"Sex Offenses-Counterfeiting/Forgery"
-1.27005957006855,-3.14572779155641,0.605608651419309,0.704331130162407,"Sex Offenses, Non-forcible-Counterfeiting/Forgery"
0.974670450747565,0.490253650936945,1.45908725055819,6.94099222542377e-11,"Stolen Property Offenses-Counterfeiting/Forgery"
1.24523799544241,0.90237647064482,1.58809952024001,0,"Weapon Law Violations-Counterfeiting/Forgery"
1.54697582067191,1.41676186632432,1.67718977501949,0,"Drug/Narcotic Offenses-Destruction/Damage/Vandalism of Property"
-0.24830006511006,-1.01260269531603,0.516002565095907,0.999972707015276,"Embezzlement-Destruction/Damage/Vandalism of Property"
0.0768951203161237,-0.653310281800618,0.807100522432865,1,"Extortion/Blackmail-Destruction/Damage/Vandalism of Property"
-0.403476157620346,-0.539040400584708,-0.267911914655985,2.35145236615608e-13,"Fraud Offenses-Destruction/Damage/Vandalism of Property"
2.41008551482154,-5.40250612805438,10.2226771576975,0.999989217267793,"Gambling Offenses-Destruction/Damage/Vandalism of Property"
